id,ingreso_txt,sexo_txt,edad,educ,exper,horas,k,formal,situacion,tamano,sector,satisf_txt,urbano,casado,hijos,provincia
1,"554,31",hombre,63,15,41,180,166.48,1,1,1,4,Feliz,1,0,1,guayas
2,843.47,H,26,99,7,138,1252.5,1,1,1,4,Feliz,1,0,0,GUAYAS
3,  1050,HOMBRE,45,10,29,199,2680.84,0,3,1,4,Normal,1,1,1,Loja
4,"1.308,15",Hombre ,26,14,8,232,2537.57,0,3,3,5,Normal,0,0,1,Guayas
5,690.92,Hombre,48,11,29,156,3189.47,0,2,1,4,Feliz,0,0,2,AZUAY
6,"713,87",hombre,40,15,19,99,2218.08,1,1,2,3,Normal,1,1,6,Guayas
7,522.49,HOMBRE,36,10,20,152,1270.44,0,2,1,5,Feliz,1,1,1,GUAYAS
8,"680,44",H,53,15,,145,1103.42,0,3,1,1,Muy triste,0,1,1, El Oro
9,793.86,M,44,9,28,66,3948.41,1,1,4,3,Feliz,0,1,3, El Oro
10,  143,M,35,8,20,62,289.63,1,1,1,5,Muy triste,1,0,1,El  Oro
11,596.22,Hombre ,25,11,6,190,1075.05,0,2,4,3,Normal,1,0,1,El  Oro
12,  1291,mujer,53,18,29,289,1281.37,0,3,2,2,Muy feliz,0,1,1,El  Oro
13,"972,58",Hombre ,43,11,25,212,2902.09,0,3,3,4,Normal,1,1,2,guayas
14,  308,H,28,11,11,165,197.17,0,3,1,3,Feliz,0,0,2, El Oro
15,  1497,H,41,16,20,142,5756.18,1,1,1,4,Triste,1,1,2, El Oro
16,"381,31",Mujer,61,11,44,121,817.21,0,3,2,3,Feliz,1,1,1,el oro
17,NA,M,20,3,6,193,1388.76,0,2,2,3,Triste,1,1,1,El  Oro
18,  455,MUJER ,35,10,22,104,771.25,1,1,3,4,Normal,1,1,3, Loja
19,432.42,mujer,58,7,44,89,461.81,0,2,1,3,Triste,0,1,1,Loja
20,"623,14",hombre,30,7,13,209,1505.49,0,2,1,4,Muy triste,1,1,3,AZUAY
21,985.12,H,62,5,47,246,2893.57,1,1,3,4,Feliz,1,1,3,AZUAY
22,707.09,Hombre ,22,9,9,173,4017.1,0,3,3,1,Feliz,0,1,2,EL ORO
23,"424,69",H,99,10,19,137,846.47,0,2,1,1,Normal,1,0,1,El Oro
24,NA,Mujer,21,9,6,126,1126.78,0,3,1,3,Triste,1,0,2, El Oro
25,"857,58",mujer,53,19,28,176,917.74,1,1,2,3,Triste,1,0,1,El  Oro
26,742.61,M,35,17,12,140,1116.95,0,2,1,1,Muy triste,0,1,3,El Oro
27,"432,06",hombre,24,12,7,142,272.06,0,2,2,4,Muy triste,0,0,2,GUAYAS
28,712.31,hombre,99,8,48,242,743.99,0,2,1,3,Feliz,0,1,0,El Oro
29,"638,41",H,20,15,0,123,1900.11,1,1,2,3,Normal,1,0,2,El  Oro
30,336.61,M,20,15,1,85,3642.96,0,2,1,1,Feliz,0,1,2,Azuay
31,665.60,MUJER ,43,16,19,173,296.64,0,3,1,1,Muy feliz,0,1,4, El Oro
32,1343.20,HOMBRE,26,18,3,181,2526.38,1,1,1,5,Normal,1,0,1, Loja
33,1163.58,HOMBRE,35,11,21,213,445.43,1,1,3,4,Normal,1,1,1,Azuay
34,"761,89",hombre,58,7,44,299,1465.81,1,1,2,4,Triste,1,0,3,Azuay
35,527.72,Mujer,24,17,1,203,329.05,0,2,1,1,Normal,0,1,4,LOJA
36,"604,20",Mujer,18,11,1,165,562.84,1,1,3,3,Normal,0,1,3,EL ORO
37,"774,90",MUJER ,61,9,44,153,5684.52,0,3,4,4,Feliz,0,1,3, Loja
38,382.27,HOMBRE,26,12,7,53,974.01,1,1,2,3,Muy triste,0,1,3,El  Oro
39,  820,mujer,45,11,30,202,1422.97,0,3,3,4,Normal,0,1,3,Loja
40,  961,hombre,29,13,7,98,4551.72,0,2,2,4,Muy triste,0,1,2, El Oro
41,559.36,H,18,13,0,154,1000.94,1,1,2,2,Normal,0,1,1,LOJA
42,333.15,HOMBRE,59,7,40,168,497.75,1,1,2,3,Feliz,1,0,2,Guayas
43,462.18,H,21,9,6,130,1718.77,1,1,2,4,Feliz,1,1,4, El Oro
44,468.68,hombre,23,5,5,119,1523.78,0,2,2,4,Feliz,0,0,0, Loja
45,304.98,mujer,63,10,47,120,324.08,0,3,3,3,Triste,0,0,0,Azuay
46,349.54,MUJER ,49,14,28,220,247.92,1,1,1,3,Muy feliz,1,0,2,EL ORO
47,  1063,H,29,21,0,195,410.82,1,1,2,4,Feliz,1,1,3,El Oro
48,833.13,MUJER ,60,13,42,161,818.63,1,1,1,4,Normal,0,1,, El Oro
49,692.32,MUJER ,24,7,8,154,1688.28,0,2,2,5,Triste,0,1,0,GUAYAS
50,"791,25", Mujer,58,16,38,145,1163.76,1,1,1,1,Muy feliz,0,1,0,LOJA
51,"738,49",MUJER ,41,7,24,159,793.51,0,3,4,1,Muy feliz,0,1,4,GUAYAS
52,"657,20",Hombre,47,14,27,155,449.97,1,1,2,1,Feliz,0,0,1, El Oro
53,"1.050,28",H,31,17,5,186,1212.74,1,1,1,3,Feliz,1,0,0, El Oro
54,682.49,mujer,44,16,23,192,909.27,1,1,2,4,Normal,1,0,0,LOJA
55,468.06,M,47,10,29,233,743.65,0,3,2,5,Triste,1,0,0, El Oro
56,2496.25,hombre,54,22,24,287,883.71,1,1,2,3,Muy feliz,1,0,0,LOJA
57,  848,M,46,14,26,159,4502.43,0,2,1,3,Muy feliz,1,1,2,El  Oro
58,435.37,hombre,20,14,3,139,1125.37,1,1,1,4,Muy triste,1,0,1,EL ORO
59,"649,98",hombre,23,10,4,182,3422.81,0,3,2,2,Triste,0,0,0,EL ORO
60,397.46,Mujer,44,10,26,125,1386.35,1,1,1,3,Normal,1,1,0, El Oro
61,"554,43",Hombre ,53,18,28,90,2286.67,1,1,3,3,Feliz,1,0,0,Azuay
62,1087.69,H,46,16,22,192,862.63,1,1,1,3,Muy feliz,1,1,2,El Oro
63,1080.68,Hombre ,41,11,24,141,3791.89,0,3,2,2,Muy feliz,0,0,0, Loja
64,"1.327,41",HOMBRE,25,15,4,208,352.84,1,1,4,4,Feliz,1,0,1,el oro
65,  283,mujer,56,6,41,89,2348.93,0,3,2,1,Feliz,1,0,2,El Oro
66,NA, Mujer,44,10,28,237,1021.19,0,2,1,2,Normal,1,0,0,El Oro
67,1064.79,MUJER ,27,99,8,241,3880.2,0,2,2,3,Normal,1,0,0,El Oro
68,"818,17",M,55,8,40,194,1926.78,0,2,3,4,Triste,1,1,1,Azuay
69,"1.673,81",Hombre,19,9,2,233,8241.4,0,2,1,2,Normal,1,0,0,EL ORO
70,"344,26",M,35,14,16,105,1123.13,0,2,2,3,Normal,1,1,3,LOJA
71,916.71,Hombre ,21,16,0,190,412.21,0,2,3,3,Feliz,1,0,3,El  Oro
72,"1.012,73",H,51,14,31,141,2076.3,1,1,3,1,Muy feliz,1,0,0,GUAYAS
73,NA,M,18,7,5,184,840.89,0,3,1,5,Normal,0,0,0,guayas
74,790.79,M,56,16,34,221,617.86,1,1,3,2,Feliz,0,1,0,GUAYAS
75,864.78,HOMBRE,24,18,0,207,699.43,1,1,1,4,Feliz,1,0,1, Loja
76,326.67,M,22,7,8,185,432.23,1,1,2,1,Muy feliz,1,0,0,El Oro
77,s/i, Mujer,58,15,38,148,559.54,0,2,3,4,Muy feliz,1,0,4,El  Oro
78,"967,35",HOMBRE,62,8,47,249,819.13,1,1,4,4,Muy feliz,1,0,0,El Oro
79,"1.338,60", Mujer,45,15,24,214,549.61,0,3,4,1,Feliz,1,1,0,Guayas
80,"1.384,30",Mujer,40,5,24,230,2352.84,0,2,4,5,Feliz,0,1,3,Azuay
81,666.37,M,25,12,6,166,1189.08,0,2,1,4,Feliz,0,0,0,El Oro
82,986.44,MUJER ,38,21,8,119,1047.34,1,1,2,4,Feliz,1,1,2,El Oro
83,"230,54",H,62,2,47,65,1625.67,0,2,4,5,Muy triste,1,0,1,LOJA
84,"1.282,78",MUJER ,40,17,17,999,1157.07,1,1,4,3,Muy feliz,1,1,2,LOJA
85,428.24,hombre,36,12,19,96,1003.13,0,2,1,5,Triste,1,1,1,Loja
86,"417,17",Hombre ,63,6,46,197,421.02,0,3,2,5,Feliz,0,1,1,guayas
87,430.64,Hombre ,30,14,9,120,445.04,1,1,2,3,Normal,1,0,,el oro
88,748.78,Hombre,63,2,47,209,1100.83,0,3,4,3,Normal,1,1,1,Loja
89,"437,62", Mujer,31,12,12,184,1349.81,0,2,2,2,Normal,1,0,2,el oro
90,"1.102,64",Hombre ,29,14,8,197,,0,2,3,5,Muy feliz,0,1,1, El Oro
91,717.14,H,47,18,21,192,495.64,1,1,2,5,Feliz,0,0,0,El  Oro
92,1441.08, Mujer,65,13,51,245,2232.9,0,3,4,4,Feliz,1,1,2,AZUAY
93,NA,hombre,20,15,0,133,1757.21,1,1,1,1,Feliz,0,1,2, Loja
94,265.44,Hombre ,53,10,35,79,994.53,1,1,1,1,Triste,1,1,1,GUAYAS
95,"431,17",H,29,5,13,193,655.41,0,2,1,5,Triste,1,1,1,El  Oro
96,664.50,Hombre ,50,11,32,194,2739.93,1,1,1,5,Triste,1,1,2,Azuay
97,"1.156,76",M,48,14,29,202,3419.37,1,1,2,2,Triste,1,0,1, El Oro
98,"703,16",HOMBRE,32,99,16,134,839.87,0,2,3,3,Feliz,0,1,2,El Oro
99,1003.55,mujer,26,16,6,189,1026.66,0,2,3,1,Triste,0,1,1,Loja
100,  1070, Mujer,63,12,44,218,3869.08,0,3,2,1,Feliz,0,1,2,El Oro
101,1413.15,HOMBRE,23,14,4,121,2604.09,1,1,3,4,Triste,1,0,1,El  Oro
102,"264,00",Mujer,20,7,6,120,282.19,0,2,1,3,Muy feliz,0,0,2,LOJA
103,"465,98",Hombre,41,1,27,235,1049.9,0,2,1,5,Normal,0,1,1,Guayas
104,"1.363,77",H,34,11,19,284,1894.54,1,1,1,4,Feliz,1,0,1,El  Oro
105,"844,81",HOMBRE,61,7,47,219,2908.56,0,2,1,1,Feliz,1,0,2, El Oro
106,1423.53,Hombre,52,14,34,193,,0,3,4,2,Feliz,1,1,2, El Oro
107,  781,M,30,99,8,163,491.8,1,1,1,5,Feliz,0,0,0,El  Oro
108,712.23,Hombre ,30,14,10,204,762.42,1,1,1,1,Muy feliz,1,0,0,Guayas
109,  729,M,47,16,28,155,1722.54,0,2,1,1,Muy feliz,1,1,1, El Oro
110,  835,hombre,29,15,7,226,2853.42,0,2,1,1,Feliz,1,1,0,AZUAY
111,"355,74",MUJER ,59,12,42,176,172.28,0,3,4,3,Triste,1,1,1,El Oro
112,"495,44",M,58,13,36,195,923.96,0,3,1,1,Feliz,1,0,0, El Oro
113,501.75,Hombre ,46,9,32,158,1811.77,1,1,2,2,Muy triste,1,0,0,El Oro
